tamaño,fuente,anchura,resultado,frase_original,texto_extraido
19,ocr-a-std,6800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism7564819quintaryunsaintlikeunm
appeddepsideisothiocyanocrandrachm"
19,ocr-a-std,5800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,1800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,2800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,3800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,4800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,6800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,9800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,5800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,7800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
21,ocr-a-std,8800,99.38,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism7564819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,1800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism756819quintaryunsaintlike
unmappeddepsideisothiocyanocrandrachm"
23,ocr-a-std,2800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,3800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,4800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
1,ocr-a-std,800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
23,ocr-a-std,9800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,5800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,7800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,8800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
23,ocr-a-std,6800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
1,ocr-a-std,1800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,2800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,3800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,5800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,4800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,6800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,9800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,7800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,1800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
1,ocr-a-std,8800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,3800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,4800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,2800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,5800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,7800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,9800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,6800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
3,ocr-a-std,8800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,1800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,2800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,3800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,6800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,5800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,4800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,7800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,8800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
5,ocr-a-std,9800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,1800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,3800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,4800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,2800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,5800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,6800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,7800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
7,ocr-a-std,8800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
9,ocr-a-std,800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
7,ocr-a-std,9800,0.0,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,
9,ocr-a-std,1800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
9,ocr-a-std,2800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
9,ocr-a-std,3800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
9,ocr-a-std,4800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
9,ocr-a-std,6800,99.05,horrormongering Tetraodon cerrero warbled greaser microbiosis thickety stereomerism truthtelling porcate orthophyre,horrormongeringTetraodoncerrerowarbledgreasermicrobiosisthicketystereonerismtruthtellingporcateorthophyre
