tamaño,resultado,frase_original,texto_extraido
59,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzm9ybWFjw61vbiBtZWRpYWSOZSBOwGljbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUm9kcmInbyBHYWxsZWdvlElhcmlu
61,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluzm9ybWFjw61vbiBtZWRpYWSOZSBOw6ljbmljYXMgzGUgZXNjZWSvz3JhZsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3Jlw7FhlHkgumgkcmlnbyBHYWxsZWdvIEIhcmlu
63,84.55,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIGxhlGluZmgybWFjw6lvbiBtzWRpYWSOZSBOw6ljbmIjYXMgZGUgZXNjZWSvz3JhzsOtYSBhy806c3RpYZEgQWxiZxyObyBNYXJOaW4gT3J1w7FhlHkgUmgkcmInbYBHYWxSZWdvIELhcmlu
65,86.3,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIiGxhlGluZmgybWFjw6lvbiBtzWRpYWSOZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhy86c3RpY2EgQWxizxyObyBNYXJOaW4gT3J1wZFhIHkgUmgkcmlnbyBHYWxSZWdvIElhcmlu
67,85.47,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRliGxhIGIuZmgybWFjw6lvbiBtZWRpYWSOZSBOw6IjbmIjYXMgZGUgzXNjZWSvZ3JhZsOtYsBhy806c3RpY2EgQWxiZXIObyBNYXJOaW4gT3JIwZFhlHkgUm9kcmInbyBHYWxsZWdvlEIhcmlu
69,86.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOweljbmIjYXMgzGUgZXNjZWSvZ3JhZsotySBhY8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
71,87.79,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhlGluZmgybWFjw61vbiBtZWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZWSvZ3JhzsOtYSBhY806c3RpYZEgQWxiZXJObyBNYXJOaW4gT3Jlw7FhlHkgUm9kcmInbYBHYWxsZWdvIELhcmlu
73,88.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwTNulGRIIGxhlGluZmgybWFjw6IvbiBtZWRpYW5OZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhy806c3RpY2EgQWxiZXJObyBNYXIOaW4gT3J1wFhIHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
75,88.95,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw61vbiBtZWRpYW5OZSBOw6ljbmIjYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpYZEgQWxiZXJObyBNYXJOaw4gT3Jlw7FhIHkgUmgkcmlnbyBHYWXSZWdvlEIhcmlu
77,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpyWSOZSBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhZsOtYSBhy8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvIE1hcmlu
