tamaño,fuente,anchura,resultado,frase_original,texto_extraido
9,ocr-a-std,800,46.15,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZFBhbiEkalxicninbnnaAcnyclcclstTXB4Zl0CZGYLCCIKZSBPGlvyalhbnBoyzjhbBkcnFjaGD=
9,ocr-a-std,1800,44.33,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZFBhbiEkalxicninbnnaAcnyclcclstTXB4Zl0CZGYLCCIKZSBPGlvyalhbnBoyzjhbkcnfiaGl
9,ocr-a-std,5800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,4800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
11,ocr-a-std,800,76.79,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,GFyZHBhbiBkallxldnlhbolzbSAZNTY4MTkcXVpbnRhecnkgdUSzYUludGxpazUgdUStYXBZUQgZGVuczlkZSBpczqOaGlvxaIhbaBgYaJhbiBkcaFjaGO=
11,ocr-a-std,1800,75.54,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,GFyZHBhbBkaUlxldolhbelzbjAZNTY4MTkgcXVpbnRhcnkgdUSzYUludGxpdUScYXBrZuQgZGvuczlkZSBpczqOaGlvYalhbnBgYaJhbiBkcnFjaGO=
11,ocr-a-std,2800,82.01,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkaUlxldelhbelzbSA3NTY4MTkgcXVpbnRhcnkgdUSzYUludGxpazUgdUStYXBrZUQgZGVuczikZSBpcz9DaGlvY3lhbaBgY3JhbiBkceFjaGo=
11,ocr-a-std,3800,66.37,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFvZHBhbiBkaUlxldelhbozbfa3nTacXVobnRhcnkaduSzYUludGxoazUaduStYXBuZuQoZgvuczlkZSBoczqOaGlvY3lhbeBoYJhbi
11,ocr-a-std,5800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
11,ocr-a-std,4800,16.42,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhbBkallxldcl
11,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
11,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
11,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
11,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
13,ocr-a-std,1800,88.7,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkallxldmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdWSzYUludGxpazUgdlStYXBwZWQgZGVwczlkZSBpczqOaGlvY3lhbmBgYaJhbiBkcmFjaG0=
